id,ism,familiya,otasining_ismi,tugilgan_sana,jins,email,telefon,shahar,manzil,passport_seriya,jshshir,millat,oilaviy_holat,ish_joyi,lavozim,ta'lim_darajasi,daromad,foydalanuvchi_turi,ro'yxatdan_o'tgan_sana
1309,Ziyoda,Mamadaliyeva,Islom,2004-12-24,Ayol,fbelozerova@gmail.com,+7 528 497 2561,Andijon,"пр. Загородный, д. 83",AF5448372,,Qirg'iz,Ajrashgan,Artel,Dasturchi,Oliy,29421569.0,premium,2021-10-03
1310,Nilufar,Karimova,Rayhona,1977-07-19,Ayol,uljana_2010@ao.info,8 (387) 184-79-70,Namangan,"ш. Тенистое, д. 3",AB3855338,,Tojik,Ajrashgan,NBU,Hisobchi,O‘rta maxsus,4755622.0,premium,2021-06-16
1311,Nilufar,Turaeva,Gulbahor,2001-02-03,Ayol,birjukovapolina@ooo.info,+7 592 410 8280,Xiva,"ш. Маркса Карла, д. 9/6 к. 38",AD8888700,59293613500651,O'zbek,Uylanmagan,Ucell,Operator,Bakalavr,25192126.0,admin,2025-08-16
1312,Nilufar,Ergasheva,Gulbahor,1979-06-10,Ayol,sofija1975@gmail.com,8 941 398 5662,Termiz,"пр. Февральский, д. 6",AD8556770,27693319551071,O'zbek,Uylanmagan,EPAM,Menejer,O‘rta maxsus,29575022.0,admin,2021-06-05
1313,Madina,Saidova,Sherzod,2004-03-04,Ayol,visheslav_31@ip.net,+7 874 095 69 31,Buxoro,"алл. Высоцкого, д. 636 стр. 8/3",AD1363147,85246789268613,Turkman,Uylanmagan,Artel,,Bakalavr,28370357.0,oddiy,2025-10-07
1314,Behruz,Turaev,,2007-04-07,Erkak,vasiligordeev@hotmail.com,+7 (163) 568-7405,Xiva,"пр. Коммунаров, д. 41 к. 93",AE2792133,88014545098226,Turkman,Ajrashgan,Artel,Hisobchi,Magistr,2160060.0,premium,2024-01-21
1315,Ziyoda,Aliyeva,Ziyoda,1975-12-29,Ayol,,8 (702) 919-72-84,Buxoro,"пр. Краснознаменный, д. 82 к. 268",AA4945110,69251496733079,Tojik,Turmush qurgan,EPAM,Hisobchi,Bakalavr,11544160.0,oddiy,2024-03-29
1316,Baxtiyor,Xudoyberdiyev,Madina,1986-06-18,Erkak,beljakovaevgenija@yahoo.com,+7 (205) 247-68-03,Namangan,"бул. Шевченко, д. 65 к. 971",AE7463014,81177940657243,O'zbek,Ajrashgan,EPAM,O‘qituvchi,Bakalavr,26690819.0,,2021-07-12
1317,Zafar,Nazarov,Gulbahor,1973-03-22,Erkak,ipati2007@yandex.ru,+7 470 049 09 90,Samarqand,"ул. Речная, д. 6/8",AD1049767,55750345552446,Rus,Turmush qurgan,Yandex,Hisobchi,O‘rta maxsus,5094790.0,oddiy,2020-11-29
1318,Behruz,Karimov,Madina,1957-10-04,Erkak,ilarion_91@gmail.com,80890063930,Termiz,"ш. Микрорайон, д. 8/4 к. 71",AA5803375,88079972179286,Qozoq,Uylanmagan,IT Park,O‘qituvchi,Magistr,28401841.0,admin,2024-03-03
1319,Islom,Karimov,Zulfiya,1961-12-02,Erkak,,8 (973) 328-0415,Andijon,"пер. Садовый, д. 48 стр. 5",AE3812797,49066896661524,Qirg'iz,Ajrashgan,Ucell,Marketolog,O‘rta maxsus,12678564.0,admin,2025-03-23
1320,Islom,Aliyev,Aziz,1961-10-09,,makarovapolina@hotmail.com,+7 (978) 997-8469,Namangan,"пер. Театральный, д. 1",AA7639998,19509780107080,Turkman,Turmush qurgan,Yandex,Hisobchi,Bakalavr,21119200.0,admin,2025-08-29
1321,Baxtiyor,Karimov,Aziz,1972-12-11,Erkak,naina1987@oao.edu,+7 509 943 32 47,Toshkent,"ш. Школьное, д. 2 стр. 5/7",AB7498525,73998404175015,Rus,Ajrashgan,IT Park,O‘qituvchi,Bakalavr,6948177.0,oddiy,2021-03-16
1322,Jahongir,Mamadaliyev,,1973-10-26,Erkak,,85320571800,Namangan,"пр. Химиков, д. 9 стр. 1",AF1517974,71148053839897,Qirg'iz,Uylanmagan,,Direktor,O‘rta maxsus,27959898.0,oddiy,2023-09-21
1323,Aziza,Xudoyberdiyeva,Oybek,1975-05-26,Ayol,ealekseeva@ao.ru,+7 (519) 414-03-79,Jizzax,"пер. Шолохова, д. 3/8 к. 1/2",AD6205863,33383962170818,,Turmush qurgan,Beeline,Operator,Bakalavr,,premium,2023-02-12
1324,Nilufar,Saidova,Sherzod,2002-12-10,Ayol,vsevolod_2020@mail.ru,+7 543 465 92 00,Andijon,"пер. Сурикова, д. 83 стр. 7",AF4412121,,Rus,Ajrashgan,Ucell,Operator,Oliy,5231621.0,admin,2020-12-02
1325,Sherzod,Yusupov,Rayhona,1983-05-21,Erkak,vseslavisaev@rambler.ru,+7 (702) 691-37-29,Namangan,"ул. 50 лет Победы, д. 2",AE4532728,51165235403368,Qozoq,Ajrashgan,Agrobank,Menejer,Oliy,10892319.0,admin,2021-02-15
1326,Jasur,Mamadaliyev,Rayhona,1959-08-16,Erkak,nikandr41@yahoo.com,+7 (660) 706-9590,Xiva,"пер. О.Кошевого, д. 2/9",AE6546921,61133166823511,Qozoq,Turmush qurgan,Agrobank,Muhandis,Bakalavr,28132961.0,oddiy,2023-09-21
1327,Jasur,Aliyev,Zulfiya,1982-10-01,Erkak,kotovanonna@zao.ru,8 (598) 825-1658,Navoiy,"пер. Димитрова, д. 625 стр. 8",AA8124738,79909394686888,Tojik,Ajrashgan,EPAM,Muhandis,O‘rta maxsus,3466634.0,admin,2021-05-02
1328,Gulbahor,Mamadaliyeva,Behruz,,Ayol,ananikozlov@ip.com,+7 176 800 14 24,Andijon,"наб. Парижской Коммуны, д. 51 к. 7/2",AF9620501,44648846029412,Rus,Turmush qurgan,NBU,Muhandis,Magistr,20035553.0,admin,2023-05-23
1329,Sherzod,Aliyev,Ziyoda,1960-04-17,Erkak,savva64@hotmail.com,+76978233146,Namangan,"бул. Комарова, д. 739",AB1314667,16141618256257,Turkman,Ajrashgan,IT Park,Menejer,Magistr,5130938.0,oddiy,2020-03-10
1330,Jahongir,Karimov,Rayhona,1985-07-08,Erkak,moise2005@mail.ru,+7 475 037 31 23,Andijon,"бул. Толстого, д. 5 стр. 75",AD2043055,48732316240866,Rus,Ajrashgan,O‘zbekiston Temir Yo‘llari,Muhandis,Oliy,10218538.0,admin,2024-05-08
1331,Zulfiya,,Aziz,2003-02-22,Ayol,angelina1975@yahoo.com,+7 (621) 246-80-38,Namangan,"ул. Космонавтов, д. 150 к. 260",AF2497934,30284581374967,Tojik,Ajrashgan,Agrobank,Operator,Bakalavr,7697052.0,admin,2024-04-11
1332,Islom,Aliyev,,2001-01-03,Erkak,eleonora_75@ooo.biz,+7 (691) 562-4597,Termiz,"ул. Олимпийская, д. 69",AE1156286,80709354721219,Tojik,Ajrashgan,EPAM,Menejer,Oliy,21763472.0,premium,2024-08-06
1333,Aziz,Turaev,Jahongir,1966-07-20,Erkak,svjatoslavvorobev@hotmail.com,8 (800) 589-8366,Samarqand,"ул. Кооперативная, д. 19 к. 692",AD9767480,66701494277329,Qozoq,Uylanmagan,Agrobank,Muhandis,Oliy,14827038.0,admin,2023-07-02
1334,Madina,Raximova,Aziz,1987-04-17,Ayol,savvatiprohorov@npo.ru,86634370628,Buxoro,"бул. Шаумяна, д. 6",AA5633728,95554614068812,O'zbek,Turmush qurgan,Beeline,Marketolog,Oliy,8430123.0,premium,2021-07-13
1335,Madina,Nazarova,Ziyoda,1991-07-16,Ayol,gavrilovprokl@gmail.com,8 (147) 063-7502,Toshkent,"ш. Гаражное, д. 454 стр. 7",AB7878255,75093645480620,Rus,Ajrashgan,UZTELECOM,Hisobchi,Bakalavr,21584894.0,admin,2023-06-10
1336,Oybek,Aliyev,Aziza,1969-06-04,Erkak,samson_1991@ao.org,8 358 274 90 90,Farg‘ona,,AA1208862,85742979828038,Qozoq,Turmush qurgan,NBU,Muhandis,O‘rta maxsus,19793443.0,admin,2020-07-01
1337,Jasur,,Madina,1958-02-09,Erkak,elizar48@mail.ru,8 (357) 825-0316,Farg‘ona,"алл. Коммуны, д. 5/2 к. 56",AB4399082,19320754512792,O'zbek,Turmush qurgan,Ucell,O‘qituvchi,O‘rta maxsus,10646205.0,oddiy,2025-03-27
1338,Baxtiyor,Raximov,Aziz,1980-08-28,Erkak,demjan06@mail.ru,8 955 342 20 13,Termiz,"бул. Высотный, д. 49",AD6500760,90205142208775,Rus,Uylanmagan,Ucell,Hisobchi,O‘rta maxsus,20067102.0,oddiy,2021-07-25
1339,Dilmurod,Raximov,Madina,1984-09-10,Erkak,mjasnikovljubim@rao.net,81905603544,Xiva,"пер. Степана Разина, д. 56 стр. 61",AD9383621,34753643998708,Qirg'iz,Ajrashgan,IT Park,Dasturchi,O‘rta maxsus,20008797.0,oddiy,2023-10-25
1340,Oybek,Yusupov,Malika,1975-05-17,Erkak,fadesazonov@ip.biz,+7 851 055 0575,Andijon,"ш. Северное, д. 5",AA7363395,90475064848815,Rus,Ajrashgan,Agrobank,O‘qituvchi,Magistr,7693331.0,admin,2024-03-02
1341,Dilnoza,Yusupova,Madina,,Ayol,tihon97@npo.biz,+70543738281,Farg‘ona,"пер. Максима Горького, д. 4 к. 2/9",AC8609441,35778643014935,Turkman,Ajrashgan,NBU,Dasturchi,Magistr,4864371.0,oddiy,2022-06-17
1342,Dilmurod,Raximov,Aziz,1959-08-13,Erkak,kir_2015@yahoo.com,8 887 489 8023,Namangan,"алл. 70 лет Октября, д. 9 стр. 91",AC4610905,11411890010388,Qozoq,Turmush qurgan,,Muhandis,O‘rta maxsus,28047486.0,oddiy,2021-07-17
1343,Behruz,Mamadaliyev,Dilmurod,1983-06-13,Erkak,vinogradovavtonom@rao.org,8 830 348 39 34,Termiz,"бул. Юности, д. 7/6 стр. 4/6",AA6349638,32634875174400,Qirg'iz,Ajrashgan,UZTELECOM,Dasturchi,O‘rta maxsus,27194764.0,oddiy,2025-05-09
1344,Zafar,Saidov,Islom,1999-07-08,Erkak,alevtina_96@oao.net,+71710662800,Buxoro,"наб. Первомайская, д. 748 стр. 382",AB2792967,22551904578277,,Ajrashgan,Beeline,Menejer,Magistr,2978282.0,admin,2020-03-24
1345,Zulfiya,Mamadaliyeva,Nilufar,1984-02-08,,vadim_94@npo.biz,+7 403 593 29 10,Andijon,"наб. Карла Маркса, д. 100",AA8407272,12255865770728,,Turmush qurgan,Artel,,O‘rta maxsus,22859687.0,admin,2023-12-08
1346,Islom,Raximov,Jasur,1989-03-29,Erkak,titovaksenija@mail.ru,84080781165,,"пер. Кольцова, д. 64 к. 6",AF7230348,21516509957479,Qirg'iz,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Muhandis,Magistr,6452750.0,oddiy,2021-06-24
1347,Dilmurod,Ergashev,Islom,1967-11-21,Erkak,dmitrievaolga@mail.ru,+7 (309) 595-65-24,Jizzax,"бул. Советов, д. 7/9 к. 449",AC2691997,51728844131365,O'zbek,Ajrashgan,EPAM,Operator,Bakalavr,9531656.0,admin,2021-05-10
1348,Aziza,Yusupova,Ziyoda,,Ayol,kirillovbojan@ip.org,+79755180124,Andijon,"ш. Ангарское, д. 34",AA9645218,76100683508421,Tojik,Uylanmagan,Artel,Direktor,O‘rta maxsus,29202364.0,admin,2023-10-21
1349,Jahongir,Saidov,Behruz,1988-01-08,Erkak,varfolome1983@ooo.org,+7 (231) 347-4405,Samarqand,"алл. Черемуховая, д. 28",AA7946152,74857503247883,Qirg'iz,Uylanmagan,Yandex,Operator,O‘rta maxsus,27695119.0,premium,2023-12-31
1350,Gulbahor,Saidova,Zulfiya,1978-07-30,Ayol,petuhovdemid@yahoo.com,+7 724 808 8815,Jizzax,"ул. Льва Толстого, д. 378",AB4597026,94319464833259,O'zbek,Uylanmagan,Ucell,O‘qituvchi,Magistr,19041088.0,oddiy,2023-07-18
1351,Oybek,Aliyev,Shahnoza,1982-01-28,Erkak,mitofan79@oao.info,+7 752 286 4313,Toshkent,"алл. Геологов, д. 675 к. 69",AB8822857,74368945875822,Qirg'iz,Turmush qurgan,Beeline,Hisobchi,Bakalavr,24029292.0,oddiy,2025-04-30
1352,Zafar,Karimov,Behruz,1992-02-08,Erkak,arefi1973@orehov.org,+7 243 598 3190,Jizzax,,AD2471064,62703509326658,Turkman,Turmush qurgan,Agrobank,Operator,Bakalavr,19909600.0,admin,2020-01-07
1353,Madina,Xudoyberdiyeva,Rayhona,1978-09-17,Ayol,longin1990@npo.biz,8 (181) 434-33-08,Termiz,"ш. Социалистическое, д. 385 к. 4",AA6330099,99810019080231,Turkman,Turmush qurgan,EPAM,Muhandis,O‘rta maxsus,23807333.0,,2024-11-14
1354,Aziz,Mamadaliyev,Zulfiya,1974-06-02,Erkak,filimon_96@gmail.com,+7 273 525 9272,Jizzax,"ш. Главное, д. 801",AA1373084,88225981350254,Rus,Turmush qurgan,Ucell,Marketolog,O‘rta maxsus,8197002.0,admin,2020-03-27
1355,Gulbahor,Karimova,Dilnoza,1978-01-02,Ayol,artemevivan@yahoo.com,+7 768 336 94 27,Navoiy,"ш. Карла Либкнехта, д. 9 стр. 28",AC3045985,97187546866844,Qirg'iz,Uylanmagan,NBU,Hisobchi,Bakalavr,5536918.0,premium,2021-06-20
1356,Jahongir,Ergashev,Aziza,1970-01-29,Erkak,avdeevazari@hotmail.com,8 597 060 01 40,Termiz,"алл. Нижняя, д. 7/2",AE5624183,12862455115771,Qozoq,Turmush qurgan,Beeline,O‘qituvchi,Bakalavr,18575810.0,oddiy,2024-02-12
1357,Zulfiya,Karimova,Jasur,1971-08-23,Ayol,vasilisa79@gmail.com,8 (062) 541-4528,Buxoro,"пр. Нефтяников, д. 98 стр. 13",AE5974021,56092558540085,Qozoq,Ajrashgan,UZTELECOM,Muhandis,Oliy,25634329.0,oddiy,2021-10-07
1358,Malika,Yusupova,Dilmurod,1963-03-30,Ayol,gushchinustin@hotmail.com,+72405377009,Termiz,"пр. Льва Толстого, д. 362 к. 4",AF6523756,19223449873816,Tojik,Uylanmagan,UZTELECOM,Marketolog,Oliy,9491025.0,admin,2024-02-21
1359,Ziyoda,Aliyeva,Nilufar,1995-10-31,Ayol,milan_2016@yandex.ru,+7 468 267 7106,Termiz,"ш. Волкова, д. 6",AD9310534,84516951650243,O'zbek,Ajrashgan,Artel,Direktor,Bakalavr,18963508.0,oddiy,2023-03-10
1360,Sherzod,,Jasur,1955-01-16,Erkak,uvarovnatan@oao.org,+7 022 508 2811,Navoiy,"бул. Бригадный, д. 9 стр. 295",AA6870653,42438462606187,Turkman,Turmush qurgan,EPAM,Muhandis,Magistr,8138189.0,oddiy,2024-07-23
1361,Madina,Aliyeva,Aziza,1965-08-02,Ayol,eduard_2017@mail.ru,8 (529) 855-2475,Navoiy,"бул. Флотский, д. 20 стр. 1/6",AF3466161,19558649703407,Qirg'iz,Ajrashgan,,Operator,Bakalavr,14727590.0,oddiy,2024-11-07
1362,Sherzod,Saidov,Gulbahor,1971-09-07,Erkak,militsa_2018@afanaseva.biz,+74131809236,Samarqand,"ш. Одесское, д. 6/2 к. 70",AA8475119,15003109238939,Tojik,Uylanmagan,O‘zbekiston Temir Yo‘llari,Direktor,,26530427.0,premium,2021-01-29
1363,Zulfiya,Mamadaliyeva,Oybek,1996-03-25,Ayol,,+7 (402) 950-0175,Andijon,"бул. Волкова, д. 9",AA4151786,36232477562914,Qirg'iz,Uylanmagan,Agrobank,Hisobchi,,11881668.0,admin,2021-06-20
1364,Shahnoza,Mamadaliyeva,Aziza,1954-12-02,Ayol,nestorkulagin@rambler.ru,+7 719 950 6084,Jizzax,"ул. Таежная, д. 6/3 к. 2",AB5278815,27056692663502,Qirg'iz,Uylanmagan,O‘zbekiston Temir Yo‘llari,Muhandis,O‘rta maxsus,27395313.0,oddiy,2023-07-24
1365,Nilufar,Aliyeva,Dilnoza,2003-09-24,Ayol,gavrila2004@ao.ru,+7 974 472 36 08,Termiz,"ш. Песочное, д. 1/3",AD4764692,75264104434825,Qozoq,Uylanmagan,O‘zbekiston Temir Yo‘llari,Menejer,Oliy,8313375.0,premium,2022-05-15
1366,Rayhona,Saidova,Oybek,1970-08-10,Ayol,sisoevnifont@npo.info,+7 802 018 8912,Buxoro,"ул. Больничная, д. 2/8 к. 1",AD4527939,68318762430468,Rus,Turmush qurgan,Beeline,O‘qituvchi,Bakalavr,24801435.0,premium,2024-08-22
1367,Dilmurod,Xudoyberdiyev,Behruz,1998-02-01,Erkak,krasilnikovaolimpiada@gk.ru,+7 (676) 721-1144,Farg‘ona,"ул. Волгоградская, д. 30",AB4615507,59018146485724,Tojik,Uylanmagan,Ucell,Menejer,Bakalavr,18718379.0,oddiy,2025-08-01
1368,Oybek,Karimov,Dilnoza,1955-11-02,Erkak,harlampikopilov@gmail.com,+7 (231) 851-8747,Namangan,,AA7643528,21379373887468,Qozoq,Uylanmagan,EPAM,O‘qituvchi,Oliy,22763221.0,admin,2023-05-25
1369,,Nazarova,Behruz,1961-03-05,Ayol,azari_1978@rambler.ru,+73762484965,Buxoro,"наб. Новая, д. 57 стр. 527",AC4045217,85936060938403,Turkman,Uylanmagan,IT Park,Muhandis,Oliy,8306511.0,admin,2023-12-31
1370,Rayhona,Nazarova,,1991-01-16,Ayol,cheslav1973@gmk.com,84773874417,Termiz,"пер. Леваневского, д. 6 стр. 80",AD5401870,61699311169113,Qirg'iz,Ajrashgan,O‘zbekiston Temir Yo‘llari,O‘qituvchi,Bakalavr,10865274.0,premium,2020-02-16
1371,Zulfiya,Xudoyberdiyeva,Aziz,1967-03-09,Ayol,evlampi46@yandex.ru,84236828379,Toshkent,"алл. Васильковая, д. 1/5",AE3059928,78975770985580,Tojik,Uylanmagan,,Marketolog,O‘rta maxsus,,admin,2020-09-24
1372,Oybek,Karimov,Madina,1974-09-16,Erkak,jaropolk_1974@yahoo.com,+7 854 656 91 41,Buxoro,"ш. Карьерное, д. 6/7 стр. 259",AA7017663,95409616382282,Rus,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Dasturchi,O‘rta maxsus,7074379.0,,2022-03-12
1373,Shahnoza,Turaeva,Islom,2006-07-28,Ayol,sitnikovpanfil@hotmail.com,+7 206 565 96 86,Samarqand,"бул. Каштановый, д. 350",AA8849805,90263315581802,,Ajrashgan,Ucell,Muhandis,O‘rta maxsus,20086977.0,oddiy,2021-11-12
1374,Zulfiya,Karimova,Malika,2005-03-19,Ayol,luchezar66@npo.edu,+7 (665) 366-10-08,Xiva,"ул. Белорусская, д. 6/1 стр. 73",AF9270895,52879177492059,O'zbek,Ajrashgan,O‘zbekiston Temir Yo‘llari,Muhandis,O‘rta maxsus,16989790.0,premium,2021-03-12
1375,Shahnoza,Ergasheva,Shahnoza,1984-01-02,Ayol,uljana_85@gmail.com,8 890 586 18 90,Jizzax,"алл. Чайковского, д. 281 стр. 674",AB6973350,60853071528153,Rus,Ajrashgan,Ucell,Operator,,7611226.0,premium,2021-12-06
1376,Baxtiyor,Nazarov,Sherzod,1962-04-23,Erkak,oksana92@gmail.com,8 364 367 9511,Andijon,,AC5094963,52120435584062,Rus,Uylanmagan,Agrobank,Hisobchi,Magistr,4209819.0,oddiy,2023-06-25
1377,Baxtiyor,Mamadaliyev,Jahongir,1973-05-16,Erkak,maksim_31@yandex.ru,+7 306 123 2395,Termiz,"пер. Колхозный, д. 72 к. 3/5",AA7738569,99704186412628,Rus,Ajrashgan,EPAM,Direktor,Magistr,29851797.0,premium,2022-04-27
1378,Sherzod,Ergashev,Dilmurod,1987-02-10,Erkak,veronika_48@ip.edu,8 808 116 9898,Navoiy,"бул. Технический, д. 50 стр. 2/1",AB1749755,47865991291481,Tojik,Turmush qurgan,IT Park,Operator,O‘rta maxsus,,oddiy,2025-07-11
1379,Ziyoda,Nazarova,Shahnoza,,Ayol,adamorehov@yandex.ru,+79659198400,Toshkent,"бул. Прудовой, д. 2/4",AA3019075,72897629558419,,Uylanmagan,O‘zbekiston Temir Yo‘llari,Hisobchi,Magistr,23319850.0,admin,2021-03-23
1380,Zulfiya,Xudoyberdiyeva,Jahongir,1980-09-09,Ayol,filippovorest@hotmail.com,84846761152,Xiva,"ул. Ветеранов, д. 58 к. 7",AD3584298,50095839066239,Rus,Ajrashgan,Ucell,Marketolog,,7357317.0,premium,2022-07-07
1381,Zulfiya,Saidova,Aziza,2004-10-29,Ayol,ratmir1980@mail.ru,+7 988 424 44 35,Termiz,"бул. Ясный, д. 13 стр. 845",AD9259692,19191535934140,Tojik,Turmush qurgan,Agrobank,Operator,Magistr,7478949.0,admin,2021-05-28
1382,Malika,,Jahongir,1985-06-01,Ayol,gerasim_03@rambler.ru,+7 577 976 11 74,Xiva,"пер. Ветеранов, д. 54 к. 674",AB4479906,89634636598964,O'zbek,Turmush qurgan,Ucell,O‘qituvchi,Bakalavr,18156813.0,premium,2020-12-14
1383,Nilufar,Ergasheva,Ziyoda,1963-07-02,Ayol,sevastjan_1978@rambler.ru,+7 (781) 406-5200,Xiva,"ул. Гастелло, д. 39",AA1838627,63221749865696,O'zbek,Uylanmagan,Beeline,O‘qituvchi,,21559788.0,premium,2023-02-25
1384,Baxtiyor,Xudoyberdiyev,Behruz,1992-10-01,Erkak,orlovflorentin@turov.net,8 (484) 007-01-34,Jizzax,"ш. Заводское, д. 1 к. 21",AD4830470,98093177586426,,Uylanmagan,Agrobank,Direktor,Magistr,21330364.0,admin,2020-02-20
1385,Oybek,Nazarov,Baxtiyor,1996-12-09,Erkak,andreevtimofe@zao.com,,Termiz,"бул. Геологический, д. 3/1 стр. 589",AE4089676,51979362143184,Qirg'iz,Turmush qurgan,EPAM,Operator,Magistr,20113512.0,oddiy,2023-10-19
1386,Gulbahor,Yusupova,Dilmurod,1974-04-19,Ayol,hohlovazoja@mail.ru,8 651 445 6081,Toshkent,"пер. Магистральный, д. 1 к. 25",AC3375736,82703163739396,Tojik,Ajrashgan,Beeline,Marketolog,O‘rta maxsus,20652247.0,admin,2021-06-22
1387,Behruz,Ergashev,Madina,2004-07-10,,nazar_2015@ao.biz,+78971603811,Navoiy,"бул. Шоссейный, д. 88",AF9069639,12014687632791,Qirg'iz,Turmush qurgan,UZTELECOM,Menejer,Oliy,5119169.0,premium,2021-02-26
1388,Shahnoza,Yusupova,Madina,1996-12-21,Ayol,zhanna_44@gmail.com,8 826 222 25 85,Andijon,"бул. Кедровый, д. 947 стр. 93",AB9380486,84970531863928,Qirg'iz,Turmush qurgan,NBU,Hisobchi,Oliy,16594616.0,premium,2025-08-02
1389,Oybek,,Rayhona,1973-11-22,,potap2019@npo.org,+7 (246) 958-5510,Andijon,,,81793198694042,Qirg'iz,Uylanmagan,Beeline,Dasturchi,Bakalavr,,oddiy,2023-10-09
1390,Oybek,Mamadaliyev,Gulbahor,1975-02-11,Erkak,zhdanovdobromisl@subbotina.edu,+7 615 807 57 68,Xiva,"алл. Гагарина, д. 2/4",AC8085773,41784986643130,Tojik,Ajrashgan,,Dasturchi,Magistr,19215057.0,admin,2022-12-07
1391,Zafar,Xudoyberdiyev,Oybek,2001-07-03,,suhanovvasili@otp.biz,8 (692) 469-5957,Buxoro,"наб. Ворошилова, д. 54 стр. 3/9",AD4975158,79483894172179,Qirg'iz,Uylanmagan,Artel,Muhandis,Bakalavr,5233977.0,premium,2024-08-06
1392,Baxtiyor,,Jasur,1988-06-03,Erkak,zinovi_1985@matveev.ru,88940326904,Jizzax,"ш. Пархоменко, д. 20 стр. 479",AA8840063,52318579531566,Qozoq,Ajrashgan,Yandex,Menejer,O‘rta maxsus,18280741.0,oddiy,2023-09-10
1393,Rayhona,Turaeva,Islom,1974-02-20,Ayol,qfokina@yahoo.com,89955516636,Andijon,"наб. Коминтерна, д. 42 к. 77",AF5426936,76285991586265,Qozoq,Turmush qurgan,O‘zbekiston Temir Yo‘llari,Direktor,O‘rta maxsus,7424111.0,admin,2022-03-20
1394,Aziza,Mamadaliyeva,Zulfiya,1954-11-13,Ayol,,+7 028 180 5733,Navoiy,"бул. Парковый, д. 2 стр. 913",AD5103452,53196806239640,O'zbek,Turmush qurgan,Ucell,Marketolog,Magistr,29169242.0,premium,2024-03-25
1395,Dilmurod,Xudoyberdiyev,Jasur,1979-01-29,Erkak,vnosova@zao.ru,+7 (841) 047-2548,Navoiy,"алл. Казанская, д. 36 к. 10",AC7534492,84552487030742,Rus,Turmush qurgan,Yandex,Marketolog,Oliy,,admin,2024-05-13
1396,Zafar,Nazarov,Baxtiyor,1982-07-20,Erkak,trofimovaljubov@hotmail.com,8 086 171 26 65,Toshkent,"пр. Димитрова, д. 1/1",AC7260323,94181277887261,O'zbek,Uylanmagan,Beeline,Menejer,Bakalavr,18834273.0,oddiy,2020-03-19
1397,Aziza,Turaeva,Jahongir,1991-01-30,Ayol,ukudrjashov@oao.ru,8 416 688 96 68,Termiz,"пр. Ягодный, д. 8/2",AA5660327,47511351223726,O'zbek,,Yandex,Direktor,,7823331.0,admin,2023-08-14
1398,Jahongir,Yusupov,Rayhona,1983-12-29,Erkak,alekse61@yahoo.com,8 (004) 964-3274,Jizzax,"бул. Народный, д. 49",AB3892190,38376726432254,Qozoq,Uylanmagan,UZTELECOM,Muhandis,O‘rta maxsus,24738323.0,premium,2022-05-15
1399,Behruz,Nazarov,Baxtiyor,1960-07-31,Erkak,igusev@hotmail.com,8 261 692 56 03,Buxoro,"алл. Журавлева, д. 5/3 к. 6/9",AD2500625,46934280384917,Turkman,Uylanmagan,NBU,Muhandis,Oliy,8477416.0,premium,2021-03-28
1400,Malika,Mamadaliyeva,Gulbahor,1958-01-04,Ayol,kzhuravleva@yandex.ru,+73047890920,Xiva,"ул. Кузнечная, д. 1/2",AE5370470,90229541086695,O'zbek,Turmush qurgan,Artel,Muhandis,Oliy,19122918.0,admin,2023-05-21
1401,Aziza,Saidova,Sherzod,1963-06-03,Ayol,samson59@oao.edu,,Namangan,"бул. Спартака, д. 99",AB9959868,88532249316717,Tojik,Uylanmagan,Ucell,Hisobchi,O‘rta maxsus,28633650.0,premium,2021-07-29
1402,Sherzod,Saidov,Shahnoza,1971-12-07,Erkak,pestovaviktorija@fokin.ru,+71685633536,Navoiy,"пр. 50 лет Победы, д. 8 стр. 241",AB1065341,28211607132025,Turkman,Ajrashgan,,Direktor,O‘rta maxsus,8720767.0,premium,2021-11-08
1403,Ziyoda,Xudoyberdiyeva,Madina,1963-06-19,Ayol,innokentigavrilov@npo.info,+7 (977) 384-49-18,Samarqand,"наб. Ульянова, д. 572 к. 83",AF7323790,51638389482179,Qozoq,Turmush qurgan,Yandex,Marketolog,Magistr,21661500.0,oddiy,2024-12-19
1404,Aziz,Nazarov,Islom,1971-08-05,Erkak,terenti11@yahoo.com,8 (488) 700-7039,Farg‘ona,"наб. Спортивная, д. 6/3 к. 63",AE4539743,24049742456222,Tojik,Turmush qurgan,NBU,Direktor,O‘rta maxsus,13909311.0,admin,2022-07-27
1405,Ziyoda,Xudoyberdiyeva,Zafar,1995-09-28,Ayol,foka53@npo.info,+7 (866) 289-4018,Farg‘ona,"алл. Малиновая, д. 1 к. 6",AB4264995,95916718545005,O'zbek,Uylanmagan,Yandex,Dasturchi,Oliy,29872374.0,admin,2022-07-04
1406,Sherzod,Raximov,Nilufar,1972-08-07,,ninel_65@gosudarstvennaja.biz,8 857 638 7109,Xiva,"пр. Космонавтов, д. 205 стр. 9/7",AA2193463,85495360951241,Rus,Turmush qurgan,NBU,Marketolog,O‘rta maxsus,11011556.0,oddiy,2021-05-31
1407,Islom,Raximov,Aziz,1974-12-05,Erkak,volkovignati@hotmail.com,+7 126 890 69 74,Namangan,"пер. Металлургов, д. 86",AF5429336,90694161973276,Turkman,Uylanmagan,EPAM,Marketolog,O‘rta maxsus,2232716.0,premium,2023-11-15
